P1,P2,Surface,PointServer,PointWinner,P1Score,P2Score
Novak Djokovic,Roberto Carballes Baena,hard,0,0,0,0
Novak Djokovic,Roberto Carballes Baena,hard,0,0,0,0
Novak Djokovic,Roberto Carballes Baena,hard,1,1,15,0
Novak Djokovic,Roberto Carballes Baena,hard,1,2,15,15
Novak Djokovic,Roberto Carballes Baena,hard,1,1,30,15
Novak Djokovic,Roberto Carballes Baena,hard,1,2,30,30
Novak Djokovic,Roberto Carballes Baena,hard,1,1,40,30
Novak Djokovic,Roberto Carballes Baena,hard,1,1,0,0
Novak Djokovic,Roberto Carballes Baena,hard,2,2,0,15
Novak Djokovic,Roberto Carballes Baena,hard,2,1,15,15
Novak Djokovic,Roberto Carballes Baena,hard,2,1,30,15
Novak Djokovic,Roberto Carballes Baena,hard,2,1,40,15
Novak Djokovic,Roberto Carballes Baena,hard,2,2,40,30
Novak Djokovic,Roberto Carballes Baena,hard,2,2,40,40
Novak Djokovic,Roberto Carballes Baena,hard,2,2,40,AD
Novak Djokovic,Roberto Carballes Baena,hard,2,1,40,40
Novak Djokovic,Roberto Carballes Baena,hard,2,2,40,AD
Novak Djokovic,Roberto Carballes Baena,hard,2,1,40,40
Novak Djokovic,Roberto Carballes Baena,hard,2,1,AD,40
Novak Djokovic,Roberto Carballes Baena,hard,2,2,40,40
Novak Djokovic,Roberto Carballes Baena,hard,2,2,40,AD
Novak Djokovic,Roberto Carballes Baena,hard,2,1,40,40
Novak Djokovic,Roberto Carballes Baena,hard,2,2,40,AD
Novak Djokovic,Roberto Carballes Baena,hard,2,2,0,0
Novak Djokovic,Roberto Carballes Baena,hard,1,1,15,0
Novak Djokovic,Roberto Carballes Baena,hard,1,1,30,0
Novak Djokovic,Roberto Carballes Baena,hard,1,1,40,0
Novak Djokovic,Roberto Carballes Baena,hard,1,1,0,0
Novak Djokovic,Roberto Carballes Baena,hard,2,1,15,0
Novak Djokovic,Roberto Carballes Baena,hard,2,2,15,15
Novak Djokovic,Roberto Carballes Baena,hard,2,2,15,30
Novak Djokovic,Roberto Carballes Baena,hard,2,2,15,40
Novak Djokovic,Roberto Carballes Baena,hard,2,2,0,0
Novak Djokovic,Roberto Carballes Baena,hard,1,1,15,0
Novak Djokovic,Roberto Carballes Baena,hard,1,1,30,0
Novak Djokovic,Roberto Carballes Baena,hard,1,2,30,15
Novak Djokovic,Roberto Carballes Baena,hard,1,2,30,30
